Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.35849,-0.13086,-0.96561,0.38745,-0.12610,-1.00208,-0.52781,5.90458,0.39368,-0.55725,4.98473,0.75191
1,0.36464,-0.14019,-0.97302,0.38745,-0.12610,-1.00208,-0.71974,5.91167,0.18430,-0.83969,4.98473,0.56489
1,0.38035,-0.13848,-0.96683,0.38745,-0.12610,-0.96375,-0.65267,5.95420,-0.03708,-0.83969,4.98473,0.46183
1,0.40843,-0.14457,-0.97410,0.40686,-0.13367,-0.98047,-0.58015,5.86914,0.00654,-0.83969,4.98473,0.46183
1,0.38986,-0.14056,-0.99365,0.40051,-0.12610,-1.02014,-0.61178,5.34787,-0.11396,-0.83969,4.98473,0.09924
1,0.36857,-0.14830,-1.01212,0.37988,-0.14380,-1.02820,-0.50763,5.06161,-0.28299,-0.83969,4.98473,-0.24809
1,0.34476,-0.13421,-1.01095,0.35364,-0.12610,-1.02686,-0.31298,5.11668,-0.11832,-0.58779,4.98473,0.09924
1,0.32976,-0.13541,-1.00276,0.29492,-0.12610,-1.01514,-0.00763,4.67285,-0.03871,-0.56870,4.79389,0.46183
1,0.30743,-0.12254,-1.02215,0.23291,-0.10425,-1.02686,0.25463,4.32007,-0.00763,-0.56870,4.61450,0.51527
1,0.30926,-0.13048,-1.01801,0.23291,-0.11047,-1.01514,-0.40294,4.37895,-0.03162,-0.56870,4.61450,0.51527
1,0.33018,-0.13218,-1.00443,0.29492,-0.11047,-1.00830,-0.59706,3.93675,-0.11723,-0.56870,4.50382,0.51527
1,0.34980,-0.13747,-0.99452,0.35364,-0.14746,-0.99475,-0.56489,3.72301,-0.12704,-0.36260,4.33969,0.44656
1,0.35972,-0.14751,-0.99283,0.38940,-0.16797,-0.99475,-0.30262,3.40513,-0.11996,-0.36260,4.33969,0.44656
1,0.36014,-0.15104,-1.00870,0.38940,-0.16797,-1.00818,-0.71265,3.53980,0.11505,-0.56870,4.33969,0.65649
1,0.33838,-0.14528,-1.03469,0.35364,-0.13733,-1.01135,-0.84842,3.52563,0.23937,-0.56870,4.33969,0.67939
1,0.32858,-0.14788,-1.04129,0.34119,-0.13733,-1.01135,-0.77590,3.32170,0.46347,-0.54198,4.28626,0.85496
1,0.31592,-0.14931,-1.04689,0.25415,-0.13733,-1.01208,-0.85987,3.31407,0.66957,-0.62977,4.28626,0.85496
1,0.29684,-0.14131,-1.03922,0.24353,-0.09924,-1.01135,-0.92912,3.70011,0.61614,-0.62977,4.38931,0.79771
1,0.32179,-0.15009,-1.01369,0.29309,-0.13733,-1.00879,-1.28244,4.06434,0.55671,-0.65649,4.38931,0.79771
1,0.33740,-0.14772,-0.99534,0.35193,-0.12866,-1.00574,-1.36968,4.60905,0.59106,-0.65649,4.50000,0.79771
1,0.35404,-0.14458,-1.01200,0.39465,-0.12866,-1.00879,-1.14068,4.29335,0.36696,-0.65649,4.50000,0.76336
1,0.37708,-0.15398,-1.02766,0.40637,-0.15393,-1.00879,-0.93021,4.79716,0.25245,-0.62977,4.56107,0.64504
1,0.38972,-0.16725,-1.01512,0.40637,-0.17090,-0.99536,-1.26499,4.54635,0.24591,-0.62977,4.44656,0.64504
1,0.36700,-0.16363,-1.01852,0.39465,-0.17090,-1.00879,-1.47274,4.59378,0.23664,-1.30153,4.44656,0.63740
1,0.34684,-0.15669,-1.02581,0.38538,-0.15393,-1.01196,-1.23501,4.68975,0.41985,-0.62977,4.63359,0.72137
1,0.32476,-0.15161,-1.03444,0.34265,-0.12866,-1.01196,-1.25518,4.85714,0.45965,-0.62977,4.63359,0.75573
1,0.32532,-0.14608,-1.03428,0.34265,-0.12866,-1.01086,-1.75845,5.51963,0.39258,-1.30153,4.71756,0.72137
1,0.32188,-0.14204,-1.02631,0.34265,-0.12866,-1.00769,-1.30153,5.31189,0.14995,-0.62977,4.63359,0.61069
1,0.33275,-0.14083,-0.99737,0.38538,-0.12024,-1.00366,-0.87405,5.11341,0.29716,-0.58015,4.54198,0.72137
1,0.35779,-0.14348,-1.00082,0.39856,-0.13440,-1.00500,-0.92857,5.34624,0.57906,-0.59160,4.63359,0.72137
1,0.36792,-0.14936,-1.00058,0.39856,-0.15576,-1.00500,-1.40949,5.84733,0.63086,-0.96183,5.88168,0.72137
1,0.35646,-0.14739,-1.01392,0.39856,-0.15576,-1.00916,-1.50382,5.66903,0.98964,-1.53053,5.32824,0.72137
1,0.32936,-0.13658,-1.03718,0.38538,-0.13440,-1.01794,-1.58561,6.17612,1.36478,-1.53053,6.50000,0.80153
1,0.31192,-0.13143,-1.04904,0.36243,-0.10938,-1.01794,-1.41930,5.97601,1.40403,-1.07634,5.52672,0.80153
1,0.29478,-0.13464,-1.03331,0.26147,-0.10938,-1.01367,-1.63850,6.33097,1.61723,-1.07634,5.52672,0.82443
1,0.29883,-0.13450,-1.00891,0.26147,-0.10938,-1.00916,-1.68103,5.90513,1.79826,-1.07634,5.32061,0.94656
1,0.31372,-0.13276,-1.00795,0.26147,-0.10938,-1.00916,-1.47601,6.28735,1.77372,-1.07634,5.74046,0.91603
1,0.34066,-0.13346,-1.00042,0.37561,-0.10938,-1.00500,-1.33152,6.01636,1.75136,-0.65649,5.32061,0.91603
1,0.35815,-0.14432,-1.00010,0.41626,-0.14490,-1.00500,-1.29171,5.94711,1.82443,-0.65649,5.32061,1.26336
1,0.37320,-0.15212,-0.99824,0.41626,-0.17810,-1.00085,-0.97437,6.06543,1.82879,-0.54962,5.74046,1.29389
1,0.35924,-0.14894,-0.98404,0.39014,-0.15869,-0.99255,-0.88495,5.16576,2.00981,-0.54962,5.32061,1.60305
1,0.32556,-0.12866,-0.99702,0.34949,-0.13733,-1.00085,-1.10414,5.33206,2.20065,-1.04580,5.74046,1.74046
1,0.30514,-0.12692,-1.00664,0.27783,-0.13733,-1.00964,-1.19084,5.51036,2.09815,-1.04580,5.74046,1.60305
1,0.27799,-0.12373,-1.00234,0.19116,-0.11499,-1.00183,-1.14885,5.27317,1.78790,-0.78244,5.32061,1.32061
1,0.28031,-0.12575,-1.00711,0.19116,-0.11499,-1.00220,-0.49182,4.55398,1.68920,-0.72137,4.94656,1.12595
1,0.31485,-0.13672,-0.99454,0.28406,-0.16919,-0.99341,-0.55780,4.42039,1.38495,-0.72137,4.61450,1.12595
1,0.34232,-0.14035,-0.97806,0.36572,-0.16919,-0.99146,-0.05834,4.29062,1.09760,-0.50000,4.61450,0.98473
1,0.35050,-0.14413,-0.98186,0.36572,-0.16919,-0.99243,-0.23610,4.33206,1.38277,-0.50000,4.61450,1.12595
1,0.35789,-0.16166,-0.97028,0.36572,-0.18860,-0.98267,-0.79607,4.16249,1.31407,-0.73282,4.35878,1.12595
