Target,AccMeanX,AccMeanY,AccMeanZ,AccMedianX,AccMedianY,AccMedianZ,GyroMeanX,GyroMeanY,GyroMeanZ,GyroMedianX,GyroMedianY,GyroMedianZ
1,0.31548,-0.14385,-0.94917,0.27466,-0.14978,-0.97327,-0.25354,5.14504,0.32879,-0.31679,4.64122,0.90840
1,0.27412,-0.10643,-0.97778,0.29980,-0.07434,-0.98950,-1.05943,4.64558,1.12595,-1.12977,5.25954,1.08779
1,0.31982,-0.12953,-0.98453,0.31213,-0.12659,-0.97986,-0.29171,4.01636,1.33697,-0.37023,4.19847,1.17176
1,0.37997,-0.15393,-0.95244,0.40588,-0.17517,-0.97192,-0.37677,4.74046,0.56652,-0.48855,4.61450,0.75191
1,0.31192,-0.13143,-1.04904,0.36243,-0.10938,-1.01794,-1.41930,5.97601,1.40403,-1.07634,5.52672,0.80153
1,0.28135,-0.09446,-0.96537,0.24036,-0.09387,-0.98816,-0.42639,4.72028,1.49945,-0.38550,4.85115,1.66412
1,0.29684,-0.14131,-1.03922,0.24353,-0.09924,-1.01135,-0.92912,3.70011,0.61614,-0.62977,4.38931,0.79771
1,0.32000,-0.11862,-0.91581,0.31860,-0.12354,-0.99365,-1.44057,2.48146,1.08506,-1.49618,2.12595,1.11832
1,0.21048,-0.04701,-0.97320,0.18835,-0.06030,-0.98560,-0.77208,4.63795,0.85442,-0.79008,4.29771,0.82443
1,0.32961,-0.11881,-0.94577,0.37012,-0.10864,-0.99451,-0.08997,5.97056,1.21865,-0.27863,5.45038,1.17176
1,0.32715,-0.13710,-0.94772,0.33618,-0.11963,-0.97327,-0.04308,5.11887,0.54308,-0.31679,4.50000,0.96565
1,0.43828,-0.13025,-0.94017,0.45386,-0.12842,-0.90735,-1.01636,4.03599,0.67830,-0.96183,3.51908,0.66031
1,0.39390,-0.12568,-0.91884,0.44531,-0.12842,-0.90796,-0.27754,4.03653,0.91821,-0.69084,3.97710,0.96565
1,0.30659,-0.14258,-1.01343,0.30981,-0.13281,-1.02478,0.16412,3.74373,-0.24809,-0.64885,3.75191,0.42366
1,0.20136,-0.05150,-1.00385,0.18835,-0.06226,-0.99792,-1.21101,3.84624,-0.10360,-0.82824,4.22137,0.79008
1,0.33459,-0.11836,-0.96308,0.37012,-0.12659,-0.97986,-1.09324,4.29716,1.42094,-0.38550,4.55344,1.40076
1,0.36459,-0.15649,-0.98145,0.38745,-0.14514,-0.99426,-0.40894,5.84351,0.25354,-0.48855,5.23664,0.90840
1,0.39075,-0.16237,-0.96019,0.40588,-0.17517,-0.97900,-0.76990,4.39804,0.81352,-0.59924,4.41221,0.81298
1,0.22534,-0.13702,-1.02236,0.21411,-0.12952,-1.00037,0.67285,4.34678,-0.94711,-0.00382,4.11832,-0.08015
1,0.12638,-0.01915,-0.97281,0.10925,-0.02332,-0.96008,-1.45638,2.73064,1.79716,-0.57634,2.27863,1.85115
1,0.33104,-0.13304,-0.96232,0.32593,-0.12109,-0.98706,-0.46783,4.94166,0.59651,-0.59160,4.47710,0.81298
1,0.31039,-0.14969,-1.01107,0.29639,-0.13818,-0.99390,0.10960,4.28462,-0.84460,-0.43511,3.97328,-0.47328
1,0.15826,-0.01624,-0.94993,0.14124,-0.02332,-0.95312,-1.90185,3.50818,1.71810,-1.72901,3.69084,1.85115
1,0.28221,-0.11012,-0.92372,0.19373,-0.09729,-1.00574,-1.01799,2.89149,0.90458,-0.79008,2.25573,0.79771
1,0.38986,-0.14056,-0.99365,0.40051,-0.12610,-1.02014,-0.61178,5.34787,-0.11396,-0.83969,4.98473,0.09924
1,0.31920,-0.12163,-1.00881,0.33325,-0.10876,-1.00488,-0.63250,4.95692,1.40567,0.26718,5.25191,1.11069
1,0.37320,-0.15212,-0.99824,0.41626,-0.17810,-1.00085,-0.97437,6.06543,1.82879,-0.54962,5.74046,1.29389
1,0.37685,-0.12910,-0.93870,0.39539,-0.10986,-0.93750,-1.47056,4.43021,0.83479,-1.41603,4.20611,0.46183
1,0.18066,-0.01964,-0.97388,0.18835,-0.06030,-0.98218,-0.87023,3.67666,0.95965,-0.82824,4.22137,0.82824
1,0.29595,-0.10638,-0.95572,0.27490,-0.10474,-0.99902,-0.43184,5.19956,1.39313,-0.37786,4.88550,1.24809
1,0.25316,-0.08496,-0.97871,0.21362,-0.10315,-1.00061,-0.21538,5.57579,1.10960,-0.30153,4.69466,0.79771
1,0.32976,-0.13541,-1.00276,0.29492,-0.12610,-1.01514,-0.00763,4.67285,-0.03871,-0.56870,4.79389,0.46183
1,0.22021,-0.12549,-1.00994,0.19128,-0.10645,-1.00037,0.08179,5.06652,-0.40894,-0.08779,4.95038,0.61832
1,0.26772,-0.10134,-0.99220,0.26501,-0.06812,-0.99658,-1.17067,4.38441,1.05125,-1.55344,4.61069,0.99618
1,0.33970,-0.10071,-0.91807,0.40369,-0.12659,-0.90796,-0.52345,4.50327,1.08070,-0.70992,4.46565,1.03817
1,0.22191,-0.11183,-1.02879,0.16101,-0.10205,-1.00854,-0.83261,3.72628,0.22519,-0.27099,3.55725,0.72901
1,0.35050,-0.14413,-0.98186,0.36572,-0.16919,-0.99243,-0.23610,4.33206,1.38277,-0.50000,4.61450,1.12595
